kode,nama,kategori,protein,lemak,karbohidrat,isi_piringku,energi_kkal_per_100g
DP018,Taoge seduh,Sayuran,-0.3297431244429171,-0.666289343463796,-0.3537122695449944,Sayuran,35.2
FP001,Ayam ampela goreng,Daging,0.8018820524709268,0.2674233397377576,0.19118288860012925,Lauk-Pauk,269.6
GP007,Ikan Belida bakar,Ikan/Kerang/Udang dll,0.5650683473301991,-0.18528312807526479,0.008258300943799817,Lauk-Pauk,127.8
FP073,Sop saudara,Daging,0.13851322449549966,0.0,-0.369918157395125,Lauk-Pauk,89.4
FP032,Ayam goreng sukabumi dada,Daging,0.8502612106409607,0.2054505743897199,-1.2556066687973693,Lauk-Pauk,233.6
FP024,Ayam goreng kalasan paha,Daging,0.8573225048774181,0.29369351944508176,-1.0902274793355256,Lauk-Pauk,264.6
ER003,Apel malang,Buah,-1.2722865702708046,-0.8697278683163129,0.33150480925395615,Buah-buahan,56.8
ER004,Apel,Buah,-1.463478888162936,-0.8697278683163129,0.4114371346816055,Buah-buahan,64.4
FP030,Ayam goreng pasundan paha,Daging,0.8112389002334885,0.27289363457379673,-1.8677929429293174,Lauk-Pauk,236.2
AP091,Nasi minyak,Serealia,-0.24396152851602035,0.0,0.8465157667503002,Makanan Pokok,207.4
ER064,Manggis,Buah,-1.1923487025493122,-0.7572909194460349,0.4351533885643128,Buah-buahan,70.2
FP076,Soto betawi,Daging,-0.43227121792872597,0.19114766283279494,0.2737985651670118,Lauk-Pauk,135.2
BP012,Ubi jalar tinta/ kemayung kukus,Umbi Berpati,-0.9954958020694902,-1.0144233146301218,0.8770570562362707,Makanan Pokok,164.6
DP037,Karedok sayur,Sayuran,-0.5045440774103985,-0.15003241297883316,0.3826595233706078,Sayuran,94.9
GP090,Sate Bandeng,Ikan/Kerang/Udang dll,0.3887826997404911,0.3883894643766777,0.5815537850631315,Lauk-Pauk,283.2
AP009,Nasi jagung,Serealia,0.23792624109168548,-0.8102990199299618,1.158155452910338,Makanan Pokok,357.7
CP050,Moon tahu,Kacang-Kacangan,0.19112363067230678,0.23198318897017023,-1.0902274793355256,Lauk-Pauk,127.2
FP003,Bebek daging goreng,Daging,0.684827530325448,0.447198058901299,-0.27891208120394195,Lauk-Pauk,300.3
HP003,Telur bebek dadar,Telur,0.6096816074591939,0.48411176904440667,-2.353589114465347,Lauk-Pauk,293.3
GP064,Gulai ikan paya,Ikan/Kerang/Udang dll,0.299507487295685,0.22559011230493053,-0.21289154077224928,Lauk-Pauk,148.2
ER020,Carica papaya,Buah,-0.5874716450669404,-1.0144233146301218,-0.40374973482888277,Buah-buahan,24.2
DP048,Sayur bunga pepaya,Sayuran,-0.6501854051611036,-0.9370817561656962,0.18550421361077316,Sayuran,48.7
DP032,Gudeg sayur,Sayuran,-0.27658394735976544,0.2054505743897199,0.44814563269501345,Sayuran,160.0
FP070,Sop kaki sapi,Daging,0.2488513697084178,-0.35618710272730464,-0.40374973482888277,Lauk-Pauk,67.9
DP027,Botok lamtoro,Sayuran,0.3732606113593159,0.22233576701999028,0.33976551949652006,Sayuran,186.1
ER076,Pisang ayam,Buah,-0.8901409132597977,-1.0144233146301218,0.6998507857509425,Buah-buahan,113.4
DP036,Kaparende sayur,Sayuran,-0.4553304228197533,-0.3369584875754552,-0.6342601294614476,Sayuran,38.0
DP023,Anyang sayur,Sayuran,-0.2600126690177747,0.1559787873972897,0.21324094345833627,Sayuran,125.9
FP029,Ayam goreng pasundan dada,Daging,0.8622711995348121,0.19839229334424738,-1.4660140974015154,Lauk-Pauk,235.4
CP072,Tempe gembus yogya,Kacang-Kacangan,0.10959434640402044,-0.7095759810985695,0.2291327243501959,Lauk-Pauk,75.9
DP035,Kadada katembe,Sayuran,-0.10670645630598345,0.1109631394948259,0.0,Sayuran,108.5
ER066,Matoa,Buah,-0.8432151889326368,-1.1046765719589209,0.586187199854996,Buah-buahan,90.1
